Ticker,Description,Price,Open,High,Low,Change %,Change,Volume,Pre-market Volume,Pre-market Change,Pre-market Change %,Post-market Volume,Post-market Change,Post-market Change %,Exponential Moving Average (5),Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (30),Exponential Moving Average (50),Exponential Moving Average (100),Exponential Moving Average (200),Simple Moving Average (5),Simple Moving Average (10),Simple Moving Average (20),Simple Moving Average (30),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Average True Range (14),Market Capitalization,Sector,Industry,Type,Sub Type,Price Scale,Min Mov,Fractional,Currency
3A,THREE-A RESOURCES BHD,0.94,0.95,0.95,0.935,-0.5291005291005296,-0.0050000000000000044,250300,,,,,,,0.9460352495792825,0.9443598104470171,0.9402303258197928,0.9360418085777523,0.927749598862656,0.9082917532316717,0.8848675039644256,0.9530000000000003,0.9439999999999997,0.9399999999999995,0.9400000000000017,0.9232999999999987,0.9089500000000003,0.866275000000001,0.016206076941319075,463268510,Consumer Non-Durables,Food: Specialty/Candy,stock,common,1000,5,false,MYR
AASIA,ASTRAL ASIA BHD,0.125,0.125,0.13,0.125,0,0,215200,,,,,,,0.1267964416550679,0.12779293248247267,0.12752420864341216,0.12617329385626042,0.12342944418292146,0.11946701661191453,0.11678885552395635,0.127,0.1285,0.12925000000000003,0.12733333333333338,0.12130000000000013,0.11635000000000005,0.11537499999999978,0.006120896993915418,82497940,Process Industries,Agricultural Commodities/Milling,stock,common,1000,5,false,MYR
AAX,AIRASIA X BERHAD,1.5,1.46,1.5,1.46,2.739726027397263,0.040000000000000036,1277800,,,,,,,1.481207135345453,1.4866594761786018,1.4976465677790756,1.4981314421129148,1.4971521329582422,1.5463146473971667,1.6094533388403371,1.4760000000000004,1.4859999999999998,1.5025000000000006,1.526666666666668,1.4780000000000004,1.4830000000000008,1.7912999999999997,0.042206895324141694,652726327,Transportation,Airlines,stock,common,100,1,false,MYR
ABFMY1,ABF MALAYSIA BOND INDEX FUND,1.245,1.245,1.245,1.245,0,0,0,,,,,,,1.2417267712390037,1.2396050711085669,1.237107189489416,1.2353517207650428,1.2330767550470232,1.2285499725420492,1.2192673827420288,1.2408000000000032,1.2386999999999948,1.2366999999999984,1.2352000000000016,1.2298400000000005,1.2303700000000006,1.2173549999999982,0.002447368784364843,,Miscellaneous,Investment Trusts/Mutual Funds,fund,etf,1000,1,false,MYR
ABLEGLOB,ABLE GLOBAL BERHAD,2.08,2.03,2.09,2.03,1.960784313725492,0.040000000000000036,1073900,,,,,,,2.0885005965013037,2.1036681807889703,2.0914482210794936,2.058900937650949,1.987950277459805,1.8454787810093447,1.6808028977122549,2.0960000000000014,2.124000000000002,2.1115000000000013,2.088,1.9606000000000001,1.802400000000003,1.585700000000002,0.06887495572838016,627428049,Process Industries,Containers/Packaging,stock,common,100,1,false,MYR
ABLEGRP,ABLEGROUP BERHAD,0.115,0.115,0.12,0.115,4.545454545454549,0.0050000000000000044,450000,,,,,,,0.11406571823530008,0.11488127251094567,0.1151991482430319,0.11497295211664518,0.11457131600341033,0.11463811341143403,0.11580220727253814,0.11399999999999999,0.11550000000000005,0.11525000000000021,0.11550000000000012,0.11360000000000005,0.11359999999999999,0.1154999999999998,0.0042225538896284625,29028982,Non-Energy Minerals,Forest Products,stock,common,1000,5,false,MYR
ABMB,ALLIANCE BANK MALAYSIA BERHAD,3.79,3.77,3.79,3.75,0.5305039787798413,0.020000000000000018,554900,,,,,,,3.774224358295894,3.7871195863487004,3.803947928041385,3.80452957091492,3.784722606222539,3.713285477180274,3.6191528044666614,3.7640000000000087,3.77199999999999,3.832999999999992,3.8193333333333372,3.809600000000012,3.7038999999999964,3.5524500000000017,0.049186777046151174,5836359428,Finance,Regional Banks,stock,common,100,1,false,MYR
ACME,ACME HOLDINGS BERHAD,0.19,0.185,0.19,0.185,5.555555555555561,0.010000000000000009,383400,,,,,,,0.18680080244916097,0.19046096693517578,0.19542851945568643,0.19756575643561394,0.19934865061310006,0.20444675377177707,0.2117260044759807,0.18499999999999991,0.19100000000000023,0.19799999999999998,0.20200000000000004,0.20020000000000018,0.19889999999999997,0.22512499999999977,0.008140464969930391,64576552.00000001,Finance,Real Estate Development,stock,common,1000,5,false,MYR
ACO,ACO GROUP BERHAD,0.275,0.26,0.275,0.255,5.7692307692307745,0.015000000000000013,1950800,,,,,,,0.2639164597371231,0.2589721299322184,0.2512525978817359,0.24628077120947786,0.24044215484550335,0.23426565664723065,0.22989655236776335,0.26,0.2605,0.24675000000000002,0.24183333333333343,0.2362000000000001,0.22939999999999963,0.23057499999999956,0.01263649622333234,90316537,Distribution Services,Wholesale Distributors,stock,common,1000,5,false,MYR
ADB,AUTOCOUNT DOTCOM BERHAD,1.21,1.2,1.22,1.2,0.8333333333333341,0.010000000000000009,373400,,,,,,,1.1925756823541211,1.1781016332762537,1.1453914195396238,1.1141781653235803,1.057873129263117,0.9517281104987434,0.8400230106170241,1.184,1.1850000000000005,1.1424999999999998,1.103333333333333,1.0539999999999996,0.9076000000000001,0.7767499999999999,0.045850445574393515,660600000,Technology Services,Packaged Software,stock,common,100,1,false,MYR
