Ticker,Description,Price,Open,High,Low,Change %,Change,Volume,Pre-market Volume,Pre-market Change,Pre-market Change %,Post-market Volume,Post-market Change,Post-market Change %,Exponential Moving Average (5),Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (30),Exponential Moving Average (50),Exponential Moving Average (100),Exponential Moving Average (200),Simple Moving Average (5),Simple Moving Average (10),Simple Moving Average (20),Simple Moving Average (30),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Average True Range (14),Market Capitalization,Sector,Industry,Type,Sub Type,Price Scale,Min Mov,Fractional,Currency
3A,THREE-A RESOURCES BHD,0.93,0.93,0.93,0.93,0,0,34900,,,,,,,0.9348472848122271,0.9392741432672519,0.9433051236672924,0.9434341131804497,0.9393081920367361,0.9229594858821955,0.8979642414400304,0.9360000000000005,0.9394999999999996,0.9484999999999992,0.9488333333333352,0.9446999999999985,0.9261500000000004,0.8812000000000012,0.01034786810836391,455915049,Consumer Non-Durables,Food: Specialty/Candy,stock,common,1000,5,false,MYR
AASIA,ASTRAL ASIA BHD,0.12,0.115,0.125,0.115,0,0,1078700,,,,,,,0.11999969050041093,0.12046942901365915,0.1212331821951517,0.1217987196509979,0.1217720050442316,0.1199431341705001,0.11761512985077249,0.118,0.12149999999999997,0.12000000000000002,0.12249999999999998,0.12500000000000014,0.11885000000000004,0.1158249999999999,0.007684063352291477,83083196,Process Industries,Agricultural Commodities/Milling,stock,common,1000,5,false,MYR
AAX,AIRASIA X BERHAD,1.46,1.49,1.49,1.45,-1.3513513513513526,-0.020000000000000018,813300,,,,,,,1.4811557347202515,1.479320892032811,1.4774387222257157,1.4790160913775046,1.4824847116217308,1.5189770444154442,1.5811977618337145,1.5040000000000007,1.4739999999999995,1.4700000000000009,1.4736666666666676,1.4998000000000005,1.4404000000000001,1.6756499999999992,0.03966712895629733,661667775,Transportation,Airlines,stock,common,100,1,false,MYR
ABFMY1,ABF MALAYSIA BOND INDEX FUND,1.252,1.252,1.252,1.252,0.16000000000000014,0.0020000000000000018,91000,,,,,,,1.2511437680728617,1.2511211051361641,1.2494193120244932,1.2472141030468984,1.243376846724652,1.2364907801689273,1.2256483625140508,1.2504000000000035,1.2521999999999949,1.2497499999999984,1.2472333333333347,1.2421400000000005,1.235810000000001,1.2235449999999983,0.0012998480578173283,,Miscellaneous,Investment Trusts/Mutual Funds,fund,etf,1000,1,false,MYR
ABLEGLOB,ABLE GLOBAL BERHAD,1.99,2.02,2.02,1.97,-0.9950248756218805,-0.019999999999999796,292500,,,,,,,1.9951759526818957,2.009378378002908,2.0309048846372213,2.0369183842430787,2.0171418361449853,1.9174567091819934,1.7551722860827497,1.9920000000000009,2.01,2.0405000000000006,2.0596666666666663,2.0761999999999996,1.9170000000000034,1.668600000000002,0.05668283703798726,618201174,Process Industries,Containers/Packaging,stock,common,100,1,false,MYR
ABLEGRP,ABLEGROUP BERHAD,0.115,0.115,0.115,0.115,0,0,0,,,,,,,0.1135903272160684,0.11279404519027687,0.11284546047103498,0.11311951403870381,0.11342244799302363,0.11393421060737904,0.11518807140012462,0.11299999999999999,0.11150000000000011,0.11275000000000024,0.11316666666666679,0.11450000000000005,0.11319999999999997,0.11532499999999976,0.002463616654296559,30348482,Non-Energy Minerals,Forest Products,stock,common,1000,5,false,MYR
ABMB,ALLIANCE BANK MALAYSIA BERHAD,4.15,4.13,4.16,4.12,0.7281553398058312,0.03000000000000025,4461200,,,,,,,4.1116017677535925,4.072710730570347,4.007277743916127,3.9639864644013474,3.906973661168341,3.808702181618946,3.689986966378363,4.106,4.079999999999989,3.9850000000000008,3.9113333333333373,3.883800000000012,3.7993999999999972,3.6176000000000017,0.046745108492476595,6378196366,Finance,Regional Banks,stock,common,100,1,false,MYR
ACME,ACME HOLDINGS BERHAD,0.175,0.18,0.18,0.175,-2.7777777777777803,-0.0050000000000000044,594000,,,,,,,0.18115015217299818,0.18439077600530268,0.18752373083117313,0.18966714293294468,0.1926253451508593,0.1986269270476498,0.20703607288406578,0.18299999999999994,0.18600000000000022,0.18875,0.18883333333333338,0.1958000000000001,0.19549999999999998,0.21627499999999983,0.006203290214509057,64576552.00000001,Finance,Real Estate Development,stock,common,1000,5,false,MYR
ACO,ACO GROUP BERHAD,0.26,0.25,0.265,0.25,1.960784313725492,0.0050000000000000044,649700,,,,,,,0.2574564281628459,0.2623022635396217,0.26846181396534674,0.2682545991838108,0.26290180507583527,0.25131660046656423,0.24057880052913955,0.2570000000000001,0.25999999999999995,0.28075000000000017,0.27833333333333343,0.2614,0.24444999999999958,0.23834999999999953,0.018727805241725744,88579682,Distribution Services,Wholesale Distributors,stock,common,1000,5,false,MYR
ADB,AUTOCOUNT DOTCOM BERHAD,1.08,1.21,1.22,1.06,-10.743801652892554,-0.1299999999999999,4328400,,,,,,,1.1606935551523025,1.1885011858424865,1.2052100863970145,1.197859080836778,1.1603149520836056,1.0556408435346378,0.9214150961669872,1.1700000000000002,1.197000000000001,1.233,1.225333333333333,1.1724999999999997,1.03965,0.84545,0.04349871905038617,666105000,Technology Services,Packaged Software,stock,common,100,1,false,MYR
ADVCON,ADVANCECON HOLDINGS BERHAD,0.265,0.27,0.27,0.265,-1.8518518518518534,-0.0050000000000000044,20000,,,,,,,0.2682985939096182,0.270334697085616,0.2722004115361228,0.2731437568555938,0.27459937307951343,0.2778154385763364,0.282139503797786,0.26800000000000096,0.27050000000000013,0.2737500000000009,0.2730000000000007,0.2747999999999995,0.2772500000000001,0.2834499999999989,0.00594906832390426,155344681,Industrial Services,Engineering & Construction,stock,common,1000,5,false,MYR
ADVENTA,ADVENTA BHD,0.305,0.305,0.305,0.3,0,0,99500,,,,,,,0.3075531541544875,0.31200230224843617,0.3159592140830021,0.3173014563862342,0.31714876146348137,0.31686718214588644,0.33540502789971854,0.30699999999999966,0.3134999999999999,0.32049999999999984,0.3170000000000004,0.322,0.3075999999999998,0.3150892857499996,0.011066408398075442,93199329,Distribution Services,Medical Distributors,stock,common,1000,5,false,MYR
AEM,AE MULTI HOLDINGS BHD,0.125,0.125,0.13,0.125,0,0,221000,,,,,,,0.1253502551555731,0.1264000228803941,0.1281413621407795,0.12964384986698427,0.1317691942744218,0.1345520432813483,0.1412933412567392,0.12500000000000008,0.12700000000000003,0.12800000000000006,0.12883333333333333,0.13450000000000023,0.1354999999999998,0.13740000000000074,0.004434096887759693,27043791,Electronic Technology,Electronic Components,stock,common,1000,5,false,MYR
AEMULUS,AEMULUS HOLDINGS BERHAD,0.355,0.36,0.365,0.35,1.42857142857143,0.0050000000000000044,3772400,,,,,,,0.36128172542519177,0.3715949408863674,0.381874671461148,0.3841773287019351,0.3812791716498294,0.3685222117668879,0.35859585715127124,0.3620000000000004,0.3735000000000014,0.3929999999999996,0.39400000000000024,0.38529999999999953,0.36819999999999753,0.3365999999999989,0.018753187968378215,234958068,Electronic Technology,Electronic Equipment/Instruments,stock,common,1000,5,false,MYR
AEON,AEON CO. (M) BHD,1.48,1.41,1.48,1.4,4.964539007092203,0.07000000000000006,9477300,,,,,,,1.4234957601109515,1.4014518455420328,1.3895284180717868,1.3826172461924184,1.3600877736373205,1.3012058727647724,1.2497655442774975,1.4119999999999961,1.3860000000000006,1.3815000000000006,1.3816666666666684,1.4016,1.2672000000000008,1.1918000000000024,0.04732262185655085,1979639953,Retail Trade,Department Stores,stock,common,100,1,false,MYR
AEONCR,AEON CREDIT SERVICE (M) BHD,7.45,7.18,7.45,7.18,3.7604456824512598,0.27000000000000046,642900,,,,,,,7.23044642368356,7.196458460812269,7.232735974818234,7.25837917204746,7.235346179071886,7.021543337878794,6.682997898816194,7.163999999999997,7.126999999999983,7.228500000000006,7.323333333333326,7.355399999999998,7.032299999999979,6.440600000000004,0.12494416073179018,3666218391,Finance,Finance/Rental/Leasing,stock,common,100,1,false,MYR
AFFIN,AFFIN BANK BERHAD,3.11,3.07,3.15,3.06,1.9672131147541003,0.06000000000000005,7971200,,,,,,,3.0077743603353095,2.9504709311371817,2.8633126106558144,2.7955765513747126,2.7093498704131194,2.5936498949988196,2.4478490779938626,2.982000000000003,2.9189999999999983,2.8760000000000017,2.7456666666666667,2.6317999999999997,2.573,2.399499999999998,0.07855795558152348,7321483931,Finance,Major Banks,stock,common,100,1,false,MYR
AFUJIYA,ABM FUJIYA BERHAD,0.33,0.33,0.33,0.33,0,0,0,,,,,,,0.32096805461916605,0.3184515721566261,0.32209732178020595,0.32582611191307104,0.33060539043029846,0.33875416925067414,0.34992281992601754,0.31699999999999995,0.3139999999999995,0.3212500000000004,0.3308333333333335,0.3352999999999996,0.33710000000000034,0.353074999999999,0.008411810180671489,59400002,Consumer Durables,Automotive Aftermarket,stock,common,1000,5,false,MYR
AGES,AGESON BERHAD,0.125,0.13,0.14,0.125,-3.8461538461538494,-0.0050000000000000044,4955700,,,,,,,0.12351706510990115,0.12089440602142433,0.11823780793909562,0.11585887725192705,0.11020191217003543,0.09789222054809983,0.09043843266316959,0.123,0.12,0.11625,0.11666666666666671,0.11410000000000002,0.09244999999999998,0.07634999999999993,0.007547046779964118,40516462,Industrial Services,Engineering & Construction,stock,common,1000,5,false,MYR
AGES-PA,AGESON BERHAD - ICPS 2020/2030,0.03,0.035,0.035,0.03,-25.000000000000007,-0.010000000000000002,145900,,,,,,,0.03553036126903857,0.03788105903786016,0.03934462140625033,0.03909331940140457,0.0367992919026602,0.030634804010244064,0.024342732427534815,0.03499999999999999,0.03950000000000003,0.04050000000000001,0.04,0.03980000000000001,0.0274,0.019799999999999957,0.0031946602501076622,40516462,Industrial Services,Engineering & Construction,stock,preferred,1000,5,false,MYR
AGMO,AGMO HOLDINGS BERHAD,0.675,0.68,0.695,0.67,0,0,2098600,,,,,,,0.6800245217335202,0.6925341885902219,0.6987384009938647,0.6905009358454467,0.6648451383790515,0.6188249911758922,0.5953661867333255,0.6769999999999998,0.6970000000000003,0.7185000000000004,0.705666666666667,0.6639,0.5816499999999994,0.5608999999999996,0.026397855950112428,219375000,Technology Services,Information Technology Services,stock,common,1000,5,false,MYR
AGRICOR,AGRICORE CS HOLDINGS BERHAD,0.645,0.645,0.655,0.63,0.7812500000000007,0.0050000000000000044,589700,,,,,,,0.6428472510452217,0.6514698394464373,0.6923636602758613,,,,,0.6420000000000001,0.6480000000000002,0.6685000000000001,,,,,0.03417425003842869,,Distribution Services,Food Distributors,stock,common,1000,5,false,MYR
AGX,AGX GROUP BERHAD,0.505,0.515,0.515,0.485,0,0,3379200,,,,,,,0.5051001967691976,0.48304899224366205,0.43876238649487687,0.4104465280434813,0.38092588123079374,0.35791140998784715,,0.512,0.4925,0.41475,0.3814999999999999,0.35210000000000025,0.33545,,0.026906749600340816,218597000,Transportation,Air Freight/Couriers,stock,common,1000,5,false,MYR
AHB,AHB HOLDINGS BHD,0.08,0.085,0.085,0.075,-5.8823529411764754,-0.0050000000000000044,11581100,,,,,,,0.08524114393236662,0.08953044667675818,0.09643236618279903,0.10207265543911818,0.11027227403742952,0.1202900555690393,0.12722285371667316,0.08600000000000008,0.0899999999999999,0.09825000000000009,0.10366666666666678,0.1165000000000001,0.12635000000000007,0.13012499999999994,0.007860797068869458,63249230,Consumer Durables,Home Furnishings,stock,common,1000,5,false,MYR
AHEALTH,APEX HEALTHCARE BHD,2.82,2.82,2.82,2.81,0,0,80200,,,,,,,2.822031439042678,2.8258830398685113,2.8346690408627278,2.847817825547801,2.873990950927561,2.8809557946620594,2.8024334132362068,2.8219999999999987,2.8270000000000044,2.8344999999999985,2.837666666666668,2.8502000000000045,2.9585999999999997,2.7747,0.025722909615288315,2029415947,Distribution Services,Medical Distributors,stock,common,100,1,false,MYR
AIM,ADVANCE INFORMATION MARKETING,0.08,0.08,0.08,0.075,6.666666666666673,0.0050000000000000044,853300,,,,,,,0.0796067372529106,0.08119355874685333,0.0817593445132848,0.08103177753005943,0.079484701050884,0.07962637045359985,0.08792365141168504,0.07899999999999999,0.08250000000000003,0.084,0.08166666666666662,0.07819999999999991,0.07520000000000007,0.0871612499999999,0.006646396484460732,27459468,Commercial Services,Miscellaneous Commercial Services,stock,common,1000,5,false,MYR
AIMFLEX,AIMFLEX BERHAD,0.19,0.195,0.2,0.19,-2.5641025641025665,-0.0050000000000000044,16923600,,,,,,,0.19423799282620646,0.19636242402666598,0.1952329519930234,0.1921815834587937,0.1864353359712879,0.17889954965356775,0.1751858082752194,0.19500000000000012,0.19850000000000018,0.19924999999999993,0.19216666666666676,0.1842999999999997,0.17164999999999977,0.1733,0.009536059056887222,287210067,Technology Services,Packaged Software,stock,common,1000,5,false,MYR
AIRPORT,MALAYSIA AIRPORTS HOLDINGS BHD,10.22,10.22,10.26,10.18,-0.19531249999999584,-0.019999999999999574,789100,,,,,,,10.162416894014502,10.100836377303851,10.044549390061636,10.016524164397168,9.950375137671884,9.625819607719032,8.962200584115369,10.160000000000004,10.05500000000001,10.041999999999998,9.972333333333333,9.968199999999994,9.821600010000001,8.683650004999983,0.10483060166402011,17085995868.000002,Transportation,Other Transportation,stock,common,100,2,false,MYR
AJI,AJINOMOTO (M) BHD,14.82,14.86,14.86,14.68,0.2706359945872864,0.040000000000000924,64200,,,,,,,14.86100811614302,14.929680096962368,15.070661891393739,15.265283500381388,15.695362107729832,16.297109184596497,16.369360585863326,14.879999999999981,14.937999999999997,15.040000000000006,15.156000000000006,15.502400019999982,17.18740006,16.620200019999988,0.227983236224321,898602322,Consumer Non-Durables,Food: Specialty/Candy,stock,common,100,2,false,MYR
AJIYA,AJIYA BHD,1.46,1.48,1.48,1.46,-2.6666666666666687,-0.040000000000000036,93600,,,,,,,1.4696162220239855,1.463642791488726,1.461486219532701,1.4645257173689057,1.4727063089148258,1.4852923418003694,1.4911644307921361,1.4659999999999993,1.4580000000000024,1.4575,1.4560000000000015,1.474199999999998,1.4943000000000008,1.5008499999999991,0.023945792291421398,437593323,Distribution Services,Wholesale Distributors,stock,common,100,1,false,MYR
