Ticker,Description,Price,Open,High,Low,Change %,Change,Volume,Pre-market Volume,Pre-market Change,Pre-market Change %,Post-market Volume,Post-market Change,Post-market Change %,Exponential Moving Average (5),Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (30),Exponential Moving Average (50),Exponential Moving Average (100),Exponential Moving Average (200),Simple Moving Average (5),Simple Moving Average (10),Simple Moving Average (20),Simple Moving Average (30),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Average True Range (14),Market Capitalization,Sector,Industry,Type,Sub Type,Price Scale,Min Mov,Fractional,Currency
3A,THREE-A RESOURCES BHD,0.94,0.935,0.94,0.93,0,0,196700,,,,,,,0.940906390827511,0.9438539671029317,0.9462536275270802,0.9453509902097648,0.9400835516399627,0.9226721472792854,0.8973170707411092,0.9400000000000002,0.9444999999999995,0.9509999999999991,0.9491666666666685,0.9450999999999985,0.9256000000000003,0.8800500000000011,0.011231847036919098,460817357,Consumer Non-Durables,Food: Specialty/Candy,stock,common,1000,5,false,MYR
AASIA,ASTRAL ASIA BHD,0.12,0.115,0.12,0.115,4.3478260869565135,0.0049999999999999906,201000,,,,,,,0.11999930362592459,0.12070124581052788,0.1215064635680385,0.12205537406017715,0.12191961062892394,0.1199408133530529,0.11756695187245422,0.122,0.12199999999999997,0.12075000000000005,0.12316666666666665,0.12500000000000014,0.11850000000000005,0.1158249999999999,0.007698677023959348,79621400,Process Industries,Agricultural Commodities/Milling,stock,common,1000,5,false,MYR
AAX,AIRASIA X BERHAD,1.49,1.54,1.55,1.49,-3.2467532467532494,-0.050000000000000044,1322900,,,,,,,1.497600403120566,1.4844176288391373,1.479197995849143,1.4803501353314887,1.483541330665607,1.5209799847038004,1.5834451346138707,1.4940000000000004,1.4739999999999995,1.4710000000000008,1.4756666666666678,1.5034000000000005,1.4408000000000003,1.6849499999999993,0.041152409913812284,688492118,Transportation,Airlines,stock,common,100,1,false,MYR
ABFMY1,ABF MALAYSIA BOND INDEX FUND,1.25,1.25,1.25,1.25,0,0,17700,,,,,,,1.2516102172459078,1.2513829779646564,1.2489587765940855,1.246439433509785,1.2424438634826631,1.2356133349604874,1.2248862319069862,1.2524000000000033,1.2526999999999948,1.2488999999999986,1.2456333333333347,1.2409800000000002,1.235140000000001,1.2226349999999981,0.001445053741761834,,Miscellaneous,Investment Trusts/Mutual Funds,fund,etf,1000,1,false,MYR
ABLEGLOB,ABLE GLOBAL BERHAD,1.95,1.99,1.99,1.95,-2.500000000000002,-0.050000000000000044,376400,,,,,,,1.9916458935342658,2.014503502942616,2.0378644158587664,2.0422337303895346,2.018586387260769,1.914092020239314,1.7502274066318824,1.9920000000000009,2.024000000000002,2.0485000000000007,2.068666666666667,2.0749999999999993,1.9111000000000034,1.6616000000000022,0.05159666307364203,615125549,Process Industries,Containers/Packaging,stock,common,100,1,false,MYR
ABLEGRP,ABLEGROUP BERHAD,0.115,0.115,0.115,0.115,4.545454545454549,0.0050000000000000044,200,,,,,,,0.11182823623615389,0.11170468479041361,0.11236800018760784,0.11285119261735357,0.11329104007907308,0.11389071343800364,0.11519187072640677,0.11099999999999999,0.11150000000000009,0.11250000000000024,0.11350000000000013,0.11430000000000007,0.11314999999999997,0.11527499999999977,0.0028572122144504475,30348482,Non-Energy Minerals,Forest Products,stock,common,1000,5,false,MYR
ABMB,ALLIANCE BANK MALAYSIA BERHAD,4.12,4.08,4.12,4.08,0.980392156862746,0.040000000000000036,1341800,,,,,,,4.078603977445583,4.041209856777925,3.9788074378587597,3.9395136650293634,3.8879543909616228,3.795379140362704,3.6809955159882892,4.072,4.05999999999999,3.9480000000000013,3.8873333333333373,3.8702000000000116,3.788399999999997,3.6097500000000013,0.04705349860665919,6316272187,Finance,Regional Banks,stock,common,100,1,false,MYR
ACME,ACME HOLDINGS BERHAD,0.18,0.185,0.185,0.18,-5.263157894736847,-0.010000000000000009,286300,,,,,,,0.18633784238924592,0.18791708514372377,0.18977275705414776,0.19141513003395938,0.19388943054451688,0.19949018292144433,0.2076329986765269,0.18699999999999994,0.18850000000000022,0.19025,0.19033333333333338,0.19700000000000015,0.1959,0.21724999999999983,0.006780147231028257,68164134,Finance,Real Estate Development,stock,common,1000,5,false,MYR
ACO,ACO GROUP BERHAD,0.245,0.26,0.26,0.245,-7.547169811320761,-0.020000000000000018,1061400,,,,,,,0.2567769633664033,0.26455029491721266,0.27086332398536817,0.2697772530507041,0.26334760308298527,0.25106322225889416,0.2402367142288772,0.25500000000000006,0.2645,0.28575000000000017,0.2785000000000001,0.26049999999999995,0.24354999999999957,0.23807499999999954,0.019323371759634587,92053391,Distribution Services,Wholesale Distributors,stock,common,1000,5,false,MYR
ADB,AUTOCOUNT DOTCOM BERHAD,1.19,1.18,1.19,1.18,0.8474576271186449,0.010000000000000009,479200,,,,,,,1.1965604990926806,1.213193129468406,1.2192732634379042,1.2057105549157474,1.1616989547561258,1.052020431067936,0.9169049089730676,1.192,1.221000000000001,1.2450000000000003,1.2279999999999995,1.1662999999999997,1.03015,0.840625,0.034886088366128346,649590000,Technology Services,Packaged Software,stock,common,100,1,false,MYR
